episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,-1.000,0.000,,,,,
50,0.0488,0.100,0.540,,,,,
100,0.0476,0.230,0.610,0.00389546318911016,0.8359462022781372,0.01706838235259056,0.2693808376789093,1.0
150,0.0464,0.330,0.650,0.0010861433111131191,0.7547748684883118,0.005441862158477306,0.22757317125797272,1.0
200,0.0452,0.300,0.630,0.0015857352409511805,0.7951415777206421,0.015418616123497486,0.19333460927009583,1.0
250,0.0441,0.240,0.600,0.0012373356148600578,0.8125789165496826,0.007849154062569141,0.19276709854602814,1.0
300,0.0430,0.300,0.620,0.00047446106327697635,0.8079874515533447,0.004579116590321064,0.16509532928466797,1.0
350,0.0420,0.510,0.720,0.0008467627922073007,0.8369808197021484,0.0055310847237706184,0.19613918662071228,1.0
400,0.0409,0.550,0.740,0.0018994593992829323,0.9776381254196167,0.022005856037139893,0.2007085084915161,1.0
450,0.0399,0.510,0.730,0.0010997659992426634,0.9366356730461121,0.007642372976988554,0.1839534193277359,1.0
500,0.0389,0.420,0.700,0.0017997606191784143,0.8690363764762878,0.0129432063549757,0.18411454558372498,1.0
550,0.0380,0.280,0.630,0.0009536560392007232,0.9950722455978394,0.00821803417056799,0.1698131263256073,1.0
600,0.0370,0.340,0.650,0.0008786904509179294,1.0541819334030151,0.011494472622871399,0.1870955228805542,1.0
650,0.0361,0.470,0.700,0.0005873831687495112,0.9165881872177124,0.003907676786184311,0.21508130431175232,1.0
700,0.0352,0.420,0.670,0.0006060447776690125,1.0614709854125977,0.004775241483002901,0.1799410879611969,1.0
750,0.0344,0.380,0.670,0.0014674738049507141,1.0107672214508057,0.0123018529266119,0.17820683121681213,1.0
800,0.0335,0.400,0.690,0.00197308580391109,1.0708470344543457,0.01361813023686409,0.19862890243530273,1.0
850,0.0327,0.330,0.660,0.0025815763510763645,1.1663260459899902,0.015214725397527218,0.24905671179294586,1.0
900,0.0319,0.310,0.650,0.0015981921460479498,0.986055850982666,0.012901891022920609,0.192287415266037,1.0
950,0.0311,0.450,0.720,0.0018919229041785002,1.2118685245513916,0.013512400910258293,0.20690926909446716,1.0
1000,0.0303,0.470,0.730,0.0008981229038909078,1.1180638074874878,0.007492430508136749,0.1917661428451538,1.0
1050,0.0296,0.300,0.640,0.0015750019811093807,0.9194914102554321,0.021450581029057503,0.18210424482822418,1.0
1100,0.0288,0.360,0.670,0.00010699857375584543,1.2066600322723389,0.0027950506191700697,0.16501624882221222,1.0
1150,0.0281,0.500,0.740,0.00047239119885489345,1.0228335857391357,0.003028013277798891,0.2007780373096466,1.0
1200,0.0274,0.410,0.700,0.0010991644812747836,1.1476781368255615,0.007608818355947733,0.22064772248268127,1.0
1250,0.0268,0.330,0.660,0.001109186327084899,1.001152753829956,0.024654580280184746,0.1949317455291748,1.0
1300,0.0261,0.440,0.700,0.0006050767260603607,0.9646809101104736,0.005590248852968216,0.17633946239948273,1.0
1350,0.0255,0.490,0.720,0.0013420990435406566,1.0108585357666016,0.011317905969917774,0.2108202874660492,1.0
1400,0.0248,0.310,0.640,0.0021078279241919518,1.0068416595458984,0.020819734781980515,0.19383421540260315,1.0
1450,0.0242,0.280,0.620,0.0015781652182340622,1.099754810333252,0.010907013900578022,0.2337123304605484,1.0
1500,0.0236,0.390,0.670,0.0008479928364977241,1.06156587600708,0.007726801093667746,0.17536573112010956,1.0
1550,0.0230,0.130,0.540,0.0017289118841290474,0.9988522529602051,0.014014289714396,0.20520788431167603,1.0
1600,0.0225,0.030,0.500,0.00047968115541152656,0.9566243886947632,0.004215337801724672,0.1920967400074005,1.0
1650,0.0219,0.200,0.580,0.00031214000773616135,0.9934830069541931,0.03268004581332207,0.2404002994298935,1.0
1700,0.0214,0.160,0.550,0.0003116833104286343,1.0252807140350342,0.003719605738297105,0.20103850960731506,1.0
