episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,1.000,1.000,,,,,
50,0.0488,0.280,0.640,,,,,
100,0.0476,0.290,0.630,0.009659400209784508,1.2492151260375977,0.07119715958833694,0.4586726427078247,1.0
150,0.0464,0.310,0.640,0.008237519301474094,1.4477787017822266,0.11112669855356216,0.38261276483535767,1.0
200,0.0452,0.330,0.650,0.002931833267211914,1.004536747932434,0.01985231228172779,0.2527138590812683,1.0
250,0.0441,0.310,0.630,0.005532161332666874,1.0993870496749878,0.04050660878419876,0.292907178401947,1.0
300,0.0430,0.260,0.600,0.005099077243357897,0.8653720617294312,0.034290947020053864,0.295738160610199,1.0
350,0.0420,0.210,0.580,0.0032942378893494606,0.9654494524002075,0.03132222592830658,0.3287683427333832,1.0
400,0.0409,0.190,0.580,0.0022140333894640207,0.6783116459846497,0.021991411224007607,0.2506939768791199,1.0
450,0.0399,0.260,0.610,0.004180350340902805,0.649721622467041,0.04682984575629234,0.25227513909339905,1.0
500,0.0389,0.250,0.610,0.0020935451611876488,0.5849326252937317,0.018680110573768616,0.24918830394744873,1.0
550,0.0380,0.350,0.660,0.0014938369859009981,0.6763142347335815,0.012365980073809624,0.1880340278148651,1.0
600,0.0370,0.200,0.580,0.000857626786455512,0.5512685179710388,0.006731859873980284,0.20786580443382263,1.0
650,0.0361,0.020,0.480,0.0013473131693899632,0.513471245765686,0.010745140723884106,0.17714247107505798,1.0
700,0.0352,0.100,0.520,0.0018148277886211872,0.49303770065307617,0.014045031741261482,0.18281987309455872,1.0
750,0.0344,0.070,0.520,0.0029946728609502316,0.43146708607673645,0.03654058650135994,0.21605873107910156,1.0
800,0.0335,0.180,0.580,0.0037632579915225506,0.38065436482429504,0.02320336550474167,0.20886319875717163,1.0
850,0.0327,0.250,0.620,0.0041074007749557495,0.4701497554779053,0.021822357550263405,0.25348323583602905,1.0
900,0.0319,0.210,0.600,0.0016124366084113717,0.32336974143981934,0.01065556425601244,0.24871933460235596,1.0
950,0.0311,0.140,0.540,0.0024985079653561115,0.30167174339294434,0.029083222150802612,0.19940711557865143,1.0
1000,0.0303,0.230,0.570,0.0024816349614411592,0.26730865240097046,0.01224527694284916,0.2140941023826599,1.0
1050,0.0296,0.240,0.590,0.003732838900759816,0.23870061337947845,0.024115901440382004,0.18052396178245544,1.0
1100,0.0288,0.040,0.500,0.003568252781406045,0.31016039848327637,0.01915339194238186,0.1992819905281067,1.0
1150,0.0281,0.100,0.530,0.0029234341345727444,0.21909603476524353,0.019833697006106377,0.19164738059043884,1.0
1200,0.0274,0.280,0.620,0.0024060511495918036,0.1325749009847641,0.030643116682767868,0.17540739476680756,1.0
1250,0.0268,0.230,0.590,0.004219342954456806,0.29272139072418213,0.028435541316866875,0.21016491949558258,1.0
1300,0.0261,0.110,0.530,0.004071780480444431,0.20857930183410645,0.024747904390096664,0.2215901017189026,1.0
1350,0.0255,0.060,0.500,0.003819320583716035,0.15199142694473267,0.02179473638534546,0.21932706236839294,1.0
