episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,-1.000,0.000,0.0021711676381528378,0.3709394931793213,0.019871052354574203,0.2586328387260437,1.0
50,0.0488,0.160,0.560,0.0031404190231114626,0.20158174633979797,0.04031940922141075,0.24063989520072937,1.0
100,0.0476,0.220,0.590,0.004082680679857731,0.22159317135810852,0.049216073006391525,0.25438234210014343,1.0
150,0.0464,0.280,0.630,0.0043223220854997635,0.2572072446346283,0.041577599942684174,0.2523283362388611,1.0
200,0.0452,0.310,0.640,0.0022730743512511253,0.1703268587589264,0.03507943078875542,0.26881641149520874,1.0
250,0.0441,0.170,0.560,0.0010856613516807556,0.15420092642307281,0.010132079012691975,0.24660776555538177,1.0
300,0.0430,0.000,0.480,0.0011961591662839055,0.2624248266220093,0.01295503880828619,0.25479763746261597,1.0
350,0.0420,0.160,0.560,0.0010667830938473344,0.1664915382862091,0.013488019816577435,0.24617189168930054,1.0
400,0.0409,0.290,0.630,0.0032883435487747192,0.21299174427986145,0.029264457523822784,0.26967576146125793,1.0
450,0.0399,0.320,0.650,0.0018058225978165865,0.2421911656856537,0.026123978197574615,0.2950291633605957,1.0
500,0.0389,0.320,0.640,0.0015164625365287066,0.1691022515296936,0.014137083664536476,0.23433010280132294,1.0
550,0.0380,0.370,0.660,0.004401769954711199,0.47832223773002625,0.03518296778202057,0.2974485158920288,1.0
600,0.0370,0.450,0.690,0.0015113516710698605,0.36746013164520264,0.01719803735613823,0.22159169614315033,1.0
650,0.0361,0.290,0.620,0.0019345157779753208,0.5311821699142456,0.012362326495349407,0.2574983239173889,1.0
700,0.0352,0.270,0.630,0.0054899901151657104,0.3882281482219696,0.049171723425388336,0.32225388288497925,1.0
750,0.0344,0.340,0.630,0.006034578662365675,0.6168792247772217,0.03719539940357208,0.2819523513317108,1.0
800,0.0335,0.300,0.610,0.0030601967591792345,0.6208336353302002,0.018734458833932877,0.3480130434036255,1.0
850,0.0327,0.210,0.590,0.004315158352255821,0.5844264030456543,0.017660798504948616,0.36978739500045776,1.0
900,0.0319,0.160,0.550,0.004130312707275152,0.5905609726905823,0.017223475500941277,0.4331129789352417,1.0
950,0.0311,0.230,0.580,0.003939095884561539,0.5699104070663452,0.02398785576224327,0.33960646390914917,1.0
1000,0.0303,0.290,0.620,0.0054511455819010735,0.4394316077232361,0.052586644887924194,0.31199753284454346,1.0
1050,0.0296,0.270,0.610,0.004121207632124424,0.5915532112121582,0.025666862726211548,0.3364799916744232,1.0
1100,0.0288,0.280,0.610,0.00022369834186974913,0.7369831204414368,0.0008298235479742289,0.45216283202171326,1.0
1150,0.0281,0.250,0.600,0.005773766897618771,0.7572891712188721,0.027679618448019028,0.3931913673877716,1.0
1200,0.0274,0.180,0.580,0.0058083138428628445,0.6892814636230469,0.0381208099424839,0.3785504102706909,1.0
1250,0.0268,0.290,0.630,0.008219185285270214,0.7937893867492676,0.07007943838834763,0.36838996410369873,1.0
1300,0.0261,0.360,0.660,0.004842351656407118,0.7497025728225708,0.027231203392148018,0.36914628744125366,1.0
1350,0.0255,0.310,0.640,0.001991560682654381,0.8149499893188477,0.011869373731315136,0.3144490718841553,1.0
1400,0.0248,0.440,0.700,0.0025588623248040676,0.7448688745498657,0.015061448328197002,0.22602427005767822,1.0
1450,0.0242,0.380,0.670,0.004202299751341343,0.6461522579193115,0.07846472412347794,0.2710825800895691,1.0
1500,0.0236,0.300,0.630,0.0038836526218801737,0.7713130116462708,0.025973670184612274,0.3416636288166046,1.0
1550,0.0230,0.390,0.680,0.002865468617528677,0.8263640403747559,0.018460996448993683,0.27099841833114624,1.0
1600,0.0225,0.310,0.640,0.0007188281742855906,0.7162789106369019,0.0026368882972747087,0.4167940020561218,1.0
1650,0.0219,0.150,0.540,0.006268282420933247,0.7112040519714355,0.027412204071879387,0.3806934356689453,1.0
1700,0.0214,0.080,0.500,0.0013397498987615108,0.7295805215835571,0.005773254670202732,0.36473220586776733,1.0
1750,0.0208,0.280,0.620,0.0005631935782730579,0.6995595693588257,0.0026915976777672768,0.3180730640888214,1.0
1800,0.0203,0.390,0.680,0.0046861181035637856,0.7257267236709595,0.03190532699227333,0.2890491485595703,1.0
1850,0.0198,0.270,0.620,0.005088641308248043,0.8484616279602051,0.02016964927315712,0.34083473682403564,1.0
1900,0.0193,0.260,0.620,0.005489999894052744,0.8118253946304321,0.019312748685479164,0.38730865716934204,1.0
1950,0.0189,0.460,0.710,0.011233793571591377,0.9303327202796936,0.10628495365381241,0.36458349227905273,1.0
2000,0.0184,0.500,0.730,0.005310847423970699,1.0197592973709106,0.01890619844198227,0.5360825061798096,1.0
2050,0.0179,0.290,0.630,0.004504222422838211,0.8875159621238708,0.04582216590642929,0.5108638405799866,1.0
2100,0.0175,0.170,0.560,0.00538607919588685,1.0795408487319946,0.01976059190928936,0.6985375881195068,1.0
2150,0.0171,0.190,0.580,0.0045982953161001205,1.2099748849868774,0.014464766718447208,0.6416687965393066,1.0
2200,0.0166,0.210,0.580,0.012897040694952011,1.1820647716522217,0.06454122811555862,0.5398319959640503,1.0
2250,0.0162,0.200,0.560,0.00972338579595089,0.9109262228012085,0.04593715816736221,0.5950695276260376,1.0
2300,0.0158,0.300,0.620,0.004981009289622307,0.9632667303085327,0.04784749075770378,0.45997026562690735,1.0
2350,0.0154,0.440,0.700,0.002364303218200803,1.0295932292938232,0.011172906495630741,0.5114201903343201,1.0
2400,0.0151,0.240,0.610,0.006474500987678766,0.9541959762573242,0.025230785831809044,0.46609529852867126,1.0
2450,0.0147,0.120,0.550,0.0022091821301728487,1.1248598098754883,0.018788693472743034,0.33871990442276,1.0
2500,0.0143,0.260,0.600,0.007048481144011021,1.1364697217941284,0.04700024053454399,0.4475465416908264,1.0
2550,0.0140,0.280,0.610,0.004487631842494011,1.018782615661621,0.04991829767823219,0.4680468440055847,1.0
2600,0.0136,0.100,0.540,0.00413507828488946,0.889776885509491,0.029028577730059624,0.3576359152793884,1.0
2650,0.0133,0.130,0.560,0.011247499845921993,0.8060346841812134,0.08358586579561234,0.35835736989974976,1.0
2700,0.0130,0.350,0.670,0.004724428988993168,0.8434325456619263,0.02127276547253132,0.3665456771850586,1.0
2750,0.0126,0.360,0.670,0.00747726671397686,0.9954161643981934,0.06292068958282471,0.4291772246360779,1.0
2800,0.0123,0.260,0.610,0.002755610505118966,0.8877871036529541,0.013375120237469673,0.3869398832321167,1.0
2850,0.0120,0.240,0.600,0.0031945169903337955,1.0950267314910889,0.016115756705403328,0.4302884638309479,1.0
2900,0.0117,0.240,0.600,0.004186114761978388,0.9803748726844788,0.018560467287898064,0.38425299525260925,1.0
2950,0.0114,0.110,0.540,0.008584583178162575,0.7385495901107788,0.05052254721522331,0.3183186650276184,1.0
