episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,-1.000,0.000,0.0024319372605532408,0.4409976899623871,0.0383196659386158,0.25142157077789307,1.0
50,0.0488,0.200,0.580,0.002998148091137409,0.3881664276123047,0.03834967315196991,0.30859848856925964,1.0
100,0.0476,0.240,0.600,0.011337040923535824,0.3469899594783783,0.07315130531787872,0.3183876574039459,1.0
150,0.0464,0.350,0.660,0.0020888152066618204,0.14894932508468628,0.047467783093452454,0.18795883655548096,1.0
200,0.0452,0.510,0.740,0.0013148898724466562,0.35671699047088623,0.039093952625989914,0.24643465876579285,1.0
250,0.0441,0.490,0.730,0.0029570553451776505,0.3749116361141205,0.036025386303663254,0.24563562870025635,1.0
300,0.0430,0.510,0.740,0.0008686691289767623,0.372646689414978,0.011644883081316948,0.20277687907218933,1.0
350,0.0420,0.330,0.650,0.0014942787820473313,0.3811456561088562,0.02355940081179142,0.2228063941001892,1.0
400,0.0409,0.100,0.540,0.0008332572178915143,0.32202932238578796,0.009187760762870312,0.2611014246940613,1.0
450,0.0399,0.190,0.590,0.009058132767677307,0.3373386263847351,0.06461550295352936,0.3249811828136444,1.0
500,0.0389,0.230,0.610,0.0005305185914039612,0.22722794115543365,0.006457833107560873,0.2447974681854248,1.0
550,0.0380,0.260,0.620,0.003589981235563755,0.43921971321105957,0.02645881101489067,0.2533377707004547,1.0
600,0.0370,0.420,0.700,0.0010227776365354657,0.39899909496307373,0.023808062076568604,0.2063574343919754,1.0
650,0.0361,0.460,0.720,0.003071046667173505,0.4540528655052185,0.03257513791322708,0.31610560417175293,1.0
700,0.0352,0.330,0.650,0.003248212393373251,0.5252997875213623,0.07635841518640518,0.3252042233943939,1.0
750,0.0344,0.300,0.630,0.0036990472581237555,0.3401159644126892,0.091110460460186,0.21573302149772644,1.0
800,0.0335,0.390,0.660,0.004136149771511555,0.5689032673835754,0.03479035571217537,0.27899426221847534,1.0
850,0.0327,0.370,0.660,0.0027374804485589266,0.3835253119468689,0.02456212230026722,0.25772735476493835,1.0
900,0.0319,0.300,0.640,0.0013143322430551052,0.10034896433353424,0.014151670970022678,0.2516545057296753,1.0
950,0.0311,0.350,0.660,0.003468453185632825,0.3599855899810791,0.050431255251169205,0.3167148530483246,1.0
1000,0.0303,0.370,0.680,0.007360068149864674,0.37538355588912964,0.06498803943395615,0.30046600103378296,1.0
1050,0.0296,0.380,0.670,0.0016731745563447475,0.4477127194404602,0.026286045089364052,0.17001274228096008,1.0
1100,0.0288,0.350,0.650,0.005311748944222927,0.48394346237182617,0.06011228263378143,0.3236865997314453,1.0
1150,0.0281,0.210,0.590,0.0026671092491596937,0.14352691173553467,0.06564299017190933,0.27612483501434326,1.0
1200,0.0274,0.220,0.600,0.0012504658661782742,0.4424329400062561,0.041657399386167526,0.22890855371952057,1.0
1250,0.0268,0.330,0.660,0.0031605400145053864,0.38849377632141113,0.031998977065086365,0.264424204826355,1.0
1300,0.0261,0.340,0.660,0.005836697295308113,0.5581997632980347,0.04757297784090042,0.33735528588294983,1.0
1350,0.0255,0.280,0.620,0.0031732539646327496,0.49421340227127075,0.04080904647707939,0.21458682417869568,1.0
1400,0.0248,0.320,0.640,0.0007000162149779499,0.6859054565429688,0.009853241965174675,0.29977214336395264,1.0
1450,0.0242,0.340,0.660,0.009487900882959366,0.7666546106338501,0.06608598679304123,0.29403337836265564,1.0
1500,0.0236,0.330,0.640,0.0033833924680948257,0.7033791542053223,0.043127670884132385,0.2712213397026062,1.0
1550,0.0230,0.450,0.700,0.0033545875921845436,0.4177219867706299,0.09525780379772186,0.2209775149822235,1.0
1600,0.0225,0.360,0.660,0.0011466447031125426,0.6776512265205383,0.00903191976249218,0.2323414534330368,1.0
1650,0.0219,0.270,0.610,0.004013564437627792,0.5472771525382996,0.037899199873209,0.2667720317840576,1.0
