episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.1000,1.000,1.000,,,,,
50,0.0975,0.540,0.760,,,,,
100,0.0951,0.320,0.650,0.05405778810381889,1.7300808429718018,0.19930431246757507,0.8875071406364441,1.0
150,0.0928,0.110,0.540,0.015750950202345848,1.1787433624267578,0.0645139291882515,0.6386961340904236,1.0
200,0.0905,0.220,0.580,0.012405505403876305,1.2770874500274658,0.059485338628292084,0.5081840753555298,1.0
250,0.0882,0.270,0.600,0.006025601644068956,1.1572871208190918,0.02570273168385029,0.47267860174179077,1.0
300,0.0861,0.090,0.530,0.0035783592611551285,0.7601643800735474,0.018476465716958046,0.4037420153617859,1.0
350,0.0839,0.160,0.560,0.001072835410013795,0.6123549938201904,0.010446825064718723,0.3529006242752075,1.0
400,0.0819,0.260,0.600,0.006623673252761364,0.8758126497268677,0.04270823299884796,0.37724441289901733,1.0
450,0.0798,0.090,0.530,0.010203838348388672,0.7996808886528015,0.0566328726708889,0.32165300846099854,1.0
500,0.0779,0.110,0.540,0.004067262634634972,0.9717460870742798,0.021378394216299057,0.3360818922519684,1.0
550,0.0760,0.200,0.580,0.0033811230678111315,0.6766225695610046,0.022661451250314713,0.3243398666381836,1.0
600,0.0741,0.230,0.600,0.004069813527166843,0.811325192451477,0.06420193612575531,0.2770330309867859,1.0
650,0.0722,0.230,0.580,0.004997828509658575,0.8878204822540283,0.04180394485592842,0.26814043521881104,1.0
700,0.0705,0.160,0.540,0.009375102818012238,0.8983836770057678,0.07603603601455688,0.2928985357284546,1.0
750,0.0687,0.120,0.550,0.0014334626030176878,0.730613112449646,0.009604662656784058,0.2963859438896179,1.0
800,0.0670,0.150,0.550,0.005858120508491993,0.8732303380966187,0.046584609895944595,0.2711411714553833,1.0
850,0.0654,0.220,0.580,0.007208281196653843,0.6611127257347107,0.03885026276111603,0.2874748706817627,1.0
900,0.0638,0.270,0.630,0.0002478704845998436,0.7766443490982056,0.0020648206118494272,0.2320612072944641,1.0
950,0.0622,0.290,0.640,0.0020373535808175802,0.705116868019104,0.030536476522684097,0.22524458169937134,1.0
1000,0.0606,0.300,0.640,0.00369457621127367,0.8447271585464478,0.026635708287358284,0.2188923954963684,1.0
1050,0.0591,0.200,0.570,0.0035190139897167683,0.890414297580719,0.0504932776093483,0.24308282136917114,1.0
1100,0.0577,0.200,0.560,0.0011044397251680493,0.7308274507522583,0.037195540964603424,0.2749922573566437,1.0
1150,0.0563,0.370,0.650,0.0007395404390990734,0.8694931268692017,0.03497347980737686,0.21257485449314117,1.0
1200,0.0549,0.240,0.600,0.002024897374212742,0.8107437491416931,0.027190621942281723,0.2655889093875885,1.0
1250,0.0535,0.080,0.530,0.00042762921657413244,0.7771219611167908,0.006613360717892647,0.23355138301849365,1.0
1300,0.0522,0.130,0.550,0.0020713533740490675,0.8997690677642822,0.017381321638822556,0.22380280494689941,1.0
1350,0.0509,0.140,0.560,0.006814106833189726,0.7828099727630615,0.044442977756261826,0.24111169576644897,1.0
1400,0.0496,0.180,0.580,0.003604978322982788,0.8665419816970825,0.046364158391952515,0.27653706073760986,1.0
1450,0.0484,0.320,0.650,0.0029286795761436224,0.7410280108451843,0.0456390455365181,0.21238328516483307,1.0
1500,0.0472,0.310,0.640,0.0022981613874435425,0.9343260526657104,0.016406744718551636,0.24795648455619812,1.0
1550,0.0461,0.210,0.580,0.0021383333951234818,0.8383917808532715,0.02759631909430027,0.23941829800605774,1.0
1600,0.0449,0.350,0.650,0.0034472867846488953,0.9468045830726624,0.028818756341934204,0.28632494807243347,1.0
1650,0.0438,0.300,0.640,0.0029961513355374336,0.9357552528381348,0.017036253586411476,0.2803197503089905,1.0
1700,0.0427,0.180,0.590,0.00297252694144845,0.9222897291183472,0.0708542913198471,0.2507900595664978,1.0
1750,0.0417,0.200,0.580,0.005987296812236309,1.0194249153137207,0.047219906002283096,0.25637102127075195,1.0
1800,0.0406,0.170,0.550,0.005544271320104599,0.9555620551109314,0.0437813475728035,0.26548078656196594,1.0
1850,0.0396,0.200,0.570,0.003092843107879162,0.8938837647438049,0.026320580393075943,0.2562779486179352,1.0
1900,0.0387,0.290,0.620,0.0032942278776317835,0.9971984028816223,0.02735484391450882,0.2523369789123535,1.0
1950,0.0377,0.350,0.650,0.0042190225794911385,1.0224740505218506,0.023818489164114,0.32862967252731323,1.0
2000,0.0368,0.210,0.580,0.003247569315135479,0.8839823007583618,0.03550996258854866,0.29323726892471313,1.0
2050,0.0359,0.130,0.550,0.002345595508813858,0.9685283899307251,0.033697258681058884,0.29393258690834045,1.0
2100,0.0350,0.190,0.590,0.004397640470415354,0.8722630143165588,0.04048530384898186,0.30144473910331726,1.0
2150,0.0341,0.200,0.590,0.0016873662825673819,0.9203497767448425,0.015766803175210953,0.26374301314353943,1.0
2200,0.0333,0.160,0.560,0.0030413689091801643,0.8277881145477295,0.02353207767009735,0.28125613927841187,1.0
2250,0.0325,0.340,0.650,0.0033332365565001965,0.9773356318473816,0.028488855808973312,0.245051771402359,1.0
2300,0.0317,0.270,0.610,0.0025357473641633987,0.7660837173461914,0.01839226298034191,0.2582383155822754,1.0
2350,0.0309,0.110,0.530,0.00379201746545732,0.8827661871910095,0.032541580498218536,0.2589980959892273,1.0
2400,0.0301,0.220,0.590,0.000882828317116946,0.8358880281448364,0.005551875568926334,0.2872006893157959,1.0
2450,0.0294,0.110,0.540,0.008555491454899311,0.7522222995758057,0.04240196943283081,0.3939673900604248,1.0
2500,0.0286,0.100,0.530,0.008732078596949577,0.8732423782348633,0.056745920330286026,0.3096168637275696,1.0
2550,0.0279,0.280,0.620,0.0024919183924794197,0.8639835119247437,0.03420669585466385,0.2807782292366028,1.0
