episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,1.000,1.000,,,,,
50,0.0488,0.280,0.640,,,,,
100,0.0476,0.370,0.680,0.008949166163802147,1.3051416873931885,0.08220355957746506,0.6656888127326965,1.0
150,0.0464,0.340,0.640,0.015161920338869095,1.0374456644058228,0.05728723481297493,0.5610453486442566,1.0
200,0.0452,0.180,0.540,0.012899186462163925,0.953639566898346,0.06100568547844887,0.5103307366371155,1.0
250,0.0441,0.070,0.500,0.004263892769813538,1.0609058141708374,0.025925446301698685,0.4426589608192444,1.0
300,0.0430,0.000,0.480,0.008498460985720158,0.8039054870605469,0.06560837477445602,0.3745921850204468,1.0
350,0.0420,0.110,0.530,0.007654048502445221,1.0160048007965088,0.039499156177043915,0.40958085656166077,1.0
400,0.0409,0.310,0.640,0.003084670752286911,0.8780021667480469,0.014579394832253456,0.3684921860694885,1.0
450,0.0399,0.180,0.570,0.003755213227123022,0.565024197101593,0.04736543446779251,0.344745010137558,1.0
500,0.0389,0.140,0.550,0.0035933745093643665,0.7547147274017334,0.02330218441784382,0.29935020208358765,1.0
550,0.0380,0.320,0.650,0.005241692066192627,0.7594327330589294,0.04334958270192146,0.29129111766815186,1.0
