episode,epsilon,avg_reward,wr_random,wr_greedy,wr_heuristic,wr_fast_minimax,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,1.000,,1.000,,,,,,,
50,0.0488,0.280,1.000,0.696,0.560,,,,,,
100,0.0476,0.350,1.000,0.719,0.588,,0.05006220564246178,0.8968731760978699,0.19469302892684937,0.9043880105018616,1.0
150,0.0464,0.240,0.895,0.721,0.523,,0.024594973772764206,1.0117833614349365,0.08953897655010223,0.708389937877655,1.0
200,0.0452,0.190,0.939,0.725,0.509,,0.008997634053230286,1.2498149871826172,0.04995327070355415,0.6085202097892761,1.0
250,0.0441,0.330,0.938,0.730,0.524,,0.018869485706090927,1.2538232803344727,0.07207021117210388,0.49149754643440247,1.0
300,0.0430,0.400,0.922,0.753,0.548,,0.004634949378669262,0.9220994710922241,0.05903782323002815,0.46932142972946167,1.0
350,0.0420,0.360,0.914,0.772,0.522,,0.006942213512957096,0.9009857177734375,0.029004903510212898,0.426188588142395,1.0
400,0.0409,0.290,0.922,0.762,0.528,,0.0046048653312027454,0.8407966494560242,0.027450567111372948,0.3312370181083679,1.0
450,0.0399,0.300,0.926,0.742,0.538,,0.011093717999756336,0.8494869470596313,0.062384601682424545,0.3457373380661011,1.0
500,0.0389,0.250,0.905,0.741,0.541,,0.0029301485046744347,0.9390725493431091,0.020724894478917122,0.304858535528183,1.0
550,0.0380,0.230,0.904,0.740,0.537,,0.006782387848943472,0.9230189323425293,0.08455027639865875,0.257168173789978,1.0
600,0.0370,0.160,0.896,0.739,0.523,,0.002212212421000004,0.8995723128318787,0.012934798374772072,0.30986782908439636,1.0
650,0.0361,0.270,0.893,0.740,0.536,,0.008675037883222103,1.0800707340240479,0.054277900606393814,0.28546515107154846,1.0
700,0.0352,0.470,0.893,0.746,0.540,,0.001313348999246955,1.1700712442398071,0.025799717754125595,0.29055920243263245,1.0
750,0.0344,0.410,0.880,0.762,0.534,,0.0023974888026714325,1.0796289443969727,0.026704661548137665,0.2306843400001526,1.0
800,0.0335,0.420,0.887,0.769,0.538,,0.0043974448926746845,1.1195719242095947,0.03583874925971031,0.2714841961860657,1.0
850,0.0327,0.410,0.885,0.764,0.539,,0.0034173328895121813,1.1568796634674072,0.050874777138233185,0.2346503734588623,1.0
900,0.0319,0.290,0.895,0.764,0.533,,0.0007854424184188247,1.1446408033370972,0.04551626369357109,0.2754164934158325,1.0
950,0.0311,0.230,0.892,0.754,0.536,,0.00282868230715394,1.2194963693618774,0.022829929366707802,0.3145238161087036,1.0
1000,0.0303,0.100,0.893,0.748,0.530,,0.002720046788454056,1.07564115524292,0.029530128464102745,0.2278597205877304,1.0
1050,0.0296,0.120,0.898,0.747,0.529,,0.005578691605478525,1.0793561935424805,0.05064297467470169,0.28744417428970337,1.0
1100,0.0288,0.270,0.896,0.746,0.530,,0.0027634534053504467,1.0505019426345825,0.030698470771312714,0.24607181549072266,1.0
1150,0.0281,0.340,0.897,0.748,0.530,,0.0019425333011895418,1.031660795211792,0.025302724912762642,0.25565069913864136,1.0
1200,0.0274,0.260,0.891,0.747,0.524,,0.0027772951871156693,1.1736253499984741,0.019905012100934982,0.3058261573314667,1.0
1250,0.0268,0.190,0.897,0.741,0.520,,0.002536364831030369,0.9794937372207642,0.02656613104045391,0.2517971098423004,1.0
1300,0.0261,0.110,0.901,0.733,0.514,,0.0037112636491656303,0.9806039929389954,0.03282461687922478,0.23302629590034485,1.0
1350,0.0255,0.100,0.898,0.727,0.516,,0.003591962391510606,1.087714433670044,0.042720235884189606,0.22697407007217407,1.0
1400,0.0248,0.330,0.900,0.726,0.523,,0.004461269825696945,1.123262882232666,0.033898353576660156,0.25105276703834534,1.0
1450,0.0242,0.340,0.904,0.723,0.523,,0.0035683619789779186,1.079540729522705,0.0295903068035841,0.25440818071365356,1.0
