episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,-1.000,0.000,,,,,
50,0.0488,0.100,0.540,,,,,
100,0.0476,0.240,0.610,0.0013382930774241686,1.2186129093170166,0.053531236946582794,0.10427261888980865,1.0
150,0.0464,0.380,0.670,0.00036697392351925373,1.0892820358276367,0.003977168817073107,0.1552831530570984,1.0
200,0.0452,0.250,0.600,0.00039772444870322943,1.209824800491333,0.008093520067632198,0.14855562150478363,1.0
250,0.0441,0.270,0.620,0.0009747070143930614,1.3379855155944824,0.02448403649032116,0.22886714339256287,1.0
300,0.0430,0.380,0.670,0.0019672447815537453,1.359105110168457,0.03853721171617508,0.18304824829101562,1.0
350,0.0420,0.200,0.570,0.0009599059703759849,1.2112150192260742,0.01048840582370758,0.19096773862838745,1.0
400,0.0409,0.210,0.580,0.002004652749747038,1.2889701128005981,0.01981913298368454,0.16957031190395355,1.0
450,0.0399,0.360,0.660,0.0016718405531719327,1.1771154403686523,0.018172742798924446,0.15041962265968323,1.0
500,0.0389,0.240,0.610,0.0009337146766483784,1.2686817646026611,0.011074194684624672,0.1717825084924698,1.0
550,0.0380,0.120,0.550,0.0006154763977974653,1.2206182479858398,0.007731516379863024,0.17882433533668518,1.0
600,0.0370,0.190,0.580,0.001463345717638731,1.2903133630752563,0.02293403074145317,0.15648406744003296,1.0
650,0.0361,0.430,0.700,0.0004566135467030108,1.4055655002593994,0.004507892299443483,0.23212316632270813,1.0
700,0.0352,0.330,0.650,0.0014994709054008126,1.5287723541259766,0.020351223647594452,0.1945716142654419,1.0
750,0.0344,0.100,0.540,0.001299630501307547,1.4882535934448242,0.01926283724606037,0.21216320991516113,1.0
800,0.0335,0.240,0.600,0.0013065856182947755,1.5659396648406982,0.04734199866652489,0.2082524597644806,1.0
850,0.0327,0.210,0.590,0.00025838721194304526,1.415597677230835,0.003976820036768913,0.15837715566158295,1.0
900,0.0319,0.220,0.600,0.002339067403227091,1.423437237739563,0.05038308724761009,0.2257559895515442,1.0
950,0.0311,0.350,0.660,0.0005502348067238927,1.539260745048523,0.005890599451959133,0.1935904622077942,1.0
1000,0.0303,0.340,0.660,0.000795319676399231,1.507271409034729,0.01195476483553648,0.18053434789180756,1.0
1050,0.0296,0.340,0.650,0.00023336726007983088,1.3386942148208618,0.0021014537196606398,0.18015921115875244,1.0
1100,0.0288,0.330,0.630,0.0018009049817919731,1.481818675994873,0.020566413179039955,0.19001463055610657,1.0
1150,0.0281,0.320,0.620,0.0008313278667628765,1.2776265144348145,0.009588675573468208,0.15867280960083008,1.0
1200,0.0274,0.300,0.630,0.0008926393347792327,1.3859095573425293,0.013141511939466,0.23458144068717957,1.0
1250,0.0268,0.320,0.650,0.0017819450004026294,1.3964338302612305,0.02062545157968998,0.1882365643978119,1.0
1300,0.0261,0.270,0.610,0.0020088639575988054,1.209057331085205,0.024489406496286392,0.18731223046779633,1.0
1350,0.0255,0.330,0.640,0.0039217364974319935,1.126037836074829,0.14748212695121765,0.19723457098007202,1.0
1400,0.0248,0.350,0.660,0.0009530336246825755,1.191427230834961,0.011554704047739506,0.16198359429836273,1.0
1450,0.0242,0.180,0.560,0.0041029974818229675,1.4248589277267456,0.029999881982803345,0.2235226333141327,1.0
1500,0.0236,0.250,0.600,0.001772044925019145,1.3973339796066284,0.015230868011713028,0.21536070108413696,1.0
1550,0.0230,0.190,0.590,0.003489479888230562,1.3249311447143555,0.058146536350250244,0.20065127313137054,1.0
1600,0.0225,0.030,0.510,0.0006385906017385423,1.304472804069519,0.007130828220397234,0.20485538244247437,1.0
1650,0.0219,0.060,0.530,0.0010115373879671097,1.3690667152404785,0.01246795803308487,0.2023090422153473,1.0
1700,0.0214,-0.020,0.490,0.0015550449024885893,1.038588285446167,0.06664420664310455,0.16412371397018433,1.0
