episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,1.000,1.000,,,,,
50,0.0488,0.780,0.860,,,,,
100,0.0476,0.700,0.820,0.0012189203407615423,1.2914303541183472,0.012759950943291187,0.14721176028251648,1.0
150,0.0464,0.650,0.810,0.0015384863363578916,1.0554372072219849,0.01789909601211548,0.12264997512102127,1.0
200,0.0452,0.720,0.850,0.001011284184642136,1.3019323348999023,0.014102466404438019,0.1285601556301117,1.0
250,0.0441,0.750,0.860,0.0014124998124316335,1.2940638065338135,0.026050465181469917,0.13940951228141785,1.0
300,0.0430,0.660,0.820,0.0012935500126332045,1.1642231941223145,0.027226218953728676,0.08992831408977509,1.0
350,0.0420,0.680,0.830,0.001974486978724599,1.2389159202575684,0.03743540123105049,0.1042400598526001,1.0
400,0.0409,0.640,0.810,0.001486174762248993,1.2077500820159912,0.013919367454946041,0.18670713901519775,1.0
450,0.0399,0.580,0.770,0.0017139308620244265,1.2779651880264282,0.023422541096806526,0.12891635298728943,1.0
500,0.0389,0.640,0.800,0.0016365991905331612,1.2333672046661377,0.014415906742215157,0.1571907103061676,1.0
550,0.0380,0.530,0.760,0.0007373724365606904,1.1036334037780762,0.010368436574935913,0.11266138404607773,1.0
600,0.0370,0.510,0.750,0.0020469441078603268,1.2053256034851074,0.016608843579888344,0.17788098752498627,1.0
650,0.0361,0.560,0.770,0.0011882621329277754,1.2482457160949707,0.015173811465501785,0.15073393285274506,1.0
700,0.0352,0.630,0.810,0.003993879072368145,1.1677875518798828,0.08016727864742279,0.17036966979503632,1.0
750,0.0344,0.740,0.860,0.0006092868279665709,1.0608587265014648,0.011932222172617912,0.15390661358833313,1.0
800,0.0335,0.600,0.790,0.0036986893974244595,1.1421942710876465,0.03640807420015335,0.13245615363121033,1.0
850,0.0327,0.460,0.720,0.001956166699528694,1.2531640529632568,0.020977765321731567,0.19387668371200562,1.0
900,0.0319,0.510,0.740,0.0011528971372172236,1.065716028213501,0.018933633342385292,0.12712493538856506,1.0
950,0.0311,0.590,0.790,0.002201829571276903,1.2853434085845947,0.029945559799671173,0.14833900332450867,1.0
1000,0.0303,0.760,0.870,0.002948151435703039,1.1509711742401123,0.054109327495098114,0.14556172490119934,1.0
1050,0.0296,0.830,0.900,0.0038421989884227514,1.1787598133087158,0.04903478920459747,0.1861797273159027,1.0
1100,0.0288,0.810,0.900,0.0025877347216010094,1.052419662475586,0.03266880288720131,0.13011538982391357,1.0
1150,0.0281,0.830,0.910,0.001624374301172793,1.0004141330718994,0.03423914313316345,0.1740252822637558,1.0
1200,0.0274,0.660,0.820,0.0012806275626644492,1.0925689935684204,0.017259536311030388,0.1224343329668045,1.0
1250,0.0268,0.610,0.800,0.0007195041980594397,1.2655774354934692,0.024352608248591423,0.14197412133216858,1.0
1300,0.0261,0.650,0.820,0.0006344651337713003,1.1359097957611084,0.02535942941904068,0.1272658258676529,1.0
1350,0.0255,0.670,0.830,0.0003226048138458282,1.2138700485229492,0.015512820333242416,0.12176311761140823,1.0
1400,0.0248,0.670,0.830,0.0020721969194710255,1.1492598056793213,0.01919962279498577,0.1355220228433609,1.0
1450,0.0242,0.680,0.830,0.0019919234327971935,1.183350682258606,0.015853870660066605,0.12769101560115814,1.0
1500,0.0236,0.770,0.870,0.0038473880849778652,1.1199183464050293,0.030904611572623253,0.1369231641292572,1.0
1550,0.0230,0.770,0.860,0.0035053836181759834,1.0005017518997192,0.039464984089136124,0.19065631926059723,1.0
1600,0.0225,0.710,0.830,0.0026095143985003233,1.037431001663208,0.02432517148554325,0.15616536140441895,1.0
1650,0.0219,0.620,0.790,0.00041857827454805374,1.0800601243972778,0.004923543892800808,0.14320582151412964,1.0
1700,0.0214,0.660,0.820,0.0011217367136850953,0.9471269845962524,0.017617283388972282,0.13418033719062805,1.0
1750,0.0208,0.780,0.880,0.00198534969240427,1.0526361465454102,0.027322206646203995,0.13355568051338196,1.0
1800,0.0203,0.700,0.830,0.0011640104930847883,1.132784128189087,0.012354696169495583,0.1811753511428833,1.0
1850,0.0198,0.520,0.750,0.0014420769875869155,1.0712740421295166,0.01131120603531599,0.13707292079925537,1.0
1900,0.0193,0.580,0.780,0.0011123099830001593,1.107924461364746,0.022402292117476463,0.09436189383268356,1.0
1950,0.0189,0.590,0.770,0.0007309940410777926,1.0122203826904297,0.00926513597369194,0.1089327335357666,1.0
2000,0.0184,0.500,0.730,0.0030759021174162626,1.0387729406356812,0.06474470347166061,0.1292533278465271,1.0
2050,0.0179,0.670,0.830,0.0005883503472432494,0.9973025321960449,0.008017751388251781,0.12615680694580078,1.0
2100,0.0175,0.740,0.860,0.0002946913009509444,1.0410133600234985,0.004015758633613586,0.10431040823459625,1.0
2150,0.0171,0.610,0.790,0.0006563073256984353,1.0010628700256348,0.006694822572171688,0.11531378328800201,1.0
2200,0.0166,0.590,0.790,0.0011615741532295942,1.0482075214385986,0.01179549377411604,0.12660950422286987,1.0
2250,0.0162,0.630,0.810,0.001178820850327611,0.9378172755241394,0.01343749649822712,0.14490340650081635,1.0
2300,0.0158,0.570,0.780,0.00228931475430727,0.8727891445159912,0.07223629206418991,0.10824991762638092,1.0
2350,0.0154,0.510,0.750,0.0006431856891140342,0.9496580958366394,0.012840394861996174,0.11499564349651337,1.0
2400,0.0151,0.600,0.790,0.0007370036328211427,0.9657191038131714,0.013131549581885338,0.0973353162407875,1.0
2450,0.0147,0.620,0.800,0.0006342858541756868,0.9486994743347168,0.008438135497272015,0.09135396778583527,1.0
