episode,epsilon,avg_reward,wr_random,wr_greedy,wr_heuristic,wr_fast_minimax,loss,mean_q,grad_norm,mean_td_error,beta
1,0.9995,-1.000,,0.000,,,,,,,
100,0.9512,-0.480,0.600,0.250,0.207,,0.0007933875895105302,-0.001999983564019203,0.015570441260933876,0.04583851993083954,0.40204
200,0.9048,-0.470,0.650,0.297,0.177,,0.0009349958272650838,0.1656072586774826,0.010952006094157696,0.05159107223153114,0.41016400000000003
300,0.8607,-0.440,0.641,0.322,0.174,,0.00048694550059735775,0.4152066707611084,0.013236962258815765,0.04007740318775177,0.41854600000000003
400,0.8187,-0.260,0.679,0.323,0.184,,0.001024502795189619,0.5661779642105103,0.022299736738204956,0.053869470953941345,0.42688600000000004
500,0.7788,-0.260,0.686,0.356,0.196,,0.0010466431267559528,0.6404353976249695,0.017766611650586128,0.05800846964120865,0.435004
600,0.7408,-0.370,0.699,0.367,0.190,,0.0014967909082770348,0.6747217178344727,0.02642796002328396,0.058355048298835754,0.443266
700,0.7046,-0.310,0.689,0.376,0.198,,0.0011440231464803219,0.6197357773780823,0.013804369606077671,0.07851465791463852,0.45142000000000004
800,0.6703,-0.210,0.710,0.391,0.206,0.100,0.0010746566113084555,0.811154842376709,0.016013195738196373,0.06280120462179184,0.459598
900,0.6376,-0.520,0.714,0.384,0.202,0.167,0.0012879231944680214,0.8649086356163025,0.0196219515055418,0.0719631016254425,0.467746
1000,0.6065,-0.540,0.697,0.384,0.207,0.121,0.0013647179584950209,0.790838360786438,0.029509084299206734,0.06261612474918365,0.475984
1100,0.5769,-0.300,0.702,0.390,0.218,0.120,0.002389752771705389,0.7549679279327393,0.03139210119843483,0.06966502219438553,0.484336
1200,0.5487,-0.230,0.699,0.402,0.227,0.121,0.0014014935586601496,0.7181393504142761,0.020525120198726654,0.07693188637495041,0.492514
1300,0.5220,-0.260,0.700,0.414,0.234,0.134,0.0016160785453394055,0.6829766631126404,0.030718646943569183,0.07354218512773514,0.500632
1400,0.4965,-0.290,0.698,0.426,0.236,0.156,0.00347536476328969,0.9117772579193115,0.041054047644138336,0.09088757634162903,0.5088940000000001
1500,0.4723,-0.540,0.699,0.418,0.233,0.155,0.0016092511359602213,0.6981847286224365,0.02360757812857628,0.07658865302801132,0.517012
1600,0.4492,-0.190,0.709,0.421,0.243,0.158,0.0022455216385424137,0.7688525319099426,0.033708296716213226,0.08867109566926956,0.525232
1700,0.4273,-0.200,0.708,0.441,0.247,0.161,0.0018278108909726143,1.0514806509017944,0.029686853289604187,0.08730140328407288,0.533296
1800,0.4065,-0.420,0.705,0.443,0.247,0.159,0.002572515280917287,0.8094418048858643,0.04112139344215393,0.08746151626110077,0.541438
1900,0.3866,-0.260,0.706,0.456,0.250,0.159,0.001309683546423912,0.9808005094528198,0.015509845688939095,0.09984587132930756,0.549628
2000,0.3678,-0.160,0.719,0.462,0.253,0.168,0.0018221596255898476,1.018609642982483,0.024591833353042603,0.10413980484008789,0.5578960000000001
2100,0.3498,-0.180,0.727,0.458,0.260,0.170,0.0015902804443612695,0.8894414901733398,0.01962934248149395,0.09681613743305206,0.566188
2200,0.3328,-0.190,0.736,0.466,0.266,0.165,0.001373005798086524,0.7206911444664001,0.0203224029392004,0.08504937589168549,0.574516
2300,0.3165,-0.080,0.748,0.476,0.271,0.164,0.0011960741830989718,0.9321851134300232,0.017989560961723328,0.09403721988201141,0.58282
2400,0.3011,-0.030,0.757,0.476,0.280,0.169,0.0025533258449286222,0.968953013420105,0.035052135586738586,0.1116858571767807,0.591124
2500,0.2864,-0.080,0.757,0.485,0.287,0.173,0.001686776871792972,0.7777329087257385,0.01576222851872444,0.12319230288267136,0.599326
2600,0.2724,0.030,0.765,0.486,0.295,0.177,0.001574305584654212,1.1431035995483398,0.02376755326986313,0.09922057390213013,0.607534
2700,0.2592,-0.140,0.763,0.490,0.302,0.182,0.0012144737411290407,0.9768149852752686,0.016957581043243408,0.09201496839523315,0.615778
