episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,1.000,1.000,,,,,
50,0.0488,0.280,0.640,,,,,
100,0.0476,0.410,0.700,0.14499875903129578,3.0089550018310547,0.31441599130630493,1.814603328704834,1.0
150,0.0464,0.490,0.730,0.05918106064200401,1.4534342288970947,0.1524895876646042,1.3921289443969727,1.0
200,0.0452,0.430,0.690,0.08636586368083954,1.7986130714416504,0.2625735402107239,1.076816439628601,1.0
250,0.0441,0.450,0.710,0.09290528297424316,1.5870277881622314,0.2700723707675934,1.0406389236450195,1.0
300,0.0430,0.530,0.760,0.06171851605176926,1.5275546312332153,0.18995514512062073,0.8954250812530518,1.0
350,0.0420,0.420,0.700,0.06756619364023209,1.5688543319702148,0.18290141224861145,0.9984330534934998,1.0
400,0.0409,0.190,0.580,0.06210684776306152,0.8906427621841431,0.20693781971931458,0.755598783493042,1.0
450,0.0399,0.240,0.600,0.03283775970339775,1.1370527744293213,0.09805484861135483,0.738580584526062,1.0
500,0.0389,0.310,0.640,0.012337715364992619,1.2419919967651367,0.043153222650289536,0.6387149095535278,1.0
550,0.0380,0.370,0.680,0.010028654709458351,1.0495004653930664,0.05399158224463463,0.5306002497673035,1.0
600,0.0370,0.450,0.720,0.02012823149561882,1.010062575340271,0.05866662412881851,0.5914648771286011,1.0
650,0.0361,0.360,0.670,0.016545288264751434,1.0113705396652222,0.04878084361553192,0.6080870628356934,1.0
700,0.0352,0.280,0.620,0.005259715020656586,0.9441186189651489,0.017045263200998306,0.5134693384170532,1.0
750,0.0344,0.280,0.610,0.01232696883380413,0.7509912252426147,0.0480223223567009,0.44995182752609253,1.0
800,0.0335,0.200,0.580,0.013746610842645168,0.6670869588851929,0.05487484857439995,0.43823206424713135,1.0
850,0.0327,0.170,0.580,0.007662355434149504,0.39728426933288574,0.029189810156822205,0.43610167503356934,1.0
900,0.0319,0.310,0.650,0.0010726479813456535,0.6981261968612671,0.00523284962400794,0.39004647731781006,1.0
950,0.0311,0.270,0.620,0.003204477485269308,0.49024951457977295,0.02450767531991005,0.33682963252067566,1.0
1000,0.0303,0.180,0.570,0.004167515784502029,0.6456430554389954,0.018097175285220146,0.3495752513408661,1.0
1050,0.0296,0.210,0.590,0.002932662144303322,0.6526377201080322,0.012543801218271255,0.37002965807914734,1.0
1100,0.0288,0.360,0.660,0.003694630693644285,0.7370685338973999,0.01995067670941353,0.2975180745124817,1.0
1150,0.0281,0.330,0.640,0.007063338533043861,0.6025278568267822,0.035136930644512177,0.3076508939266205,1.0
1200,0.0274,0.180,0.560,0.00529303215444088,0.6517099738121033,0.02893548458814621,0.293766051530838,1.0
1250,0.0268,0.160,0.550,0.0017052169423550367,0.597795307636261,0.01038275845348835,0.29052188992500305,1.0
1300,0.0261,0.210,0.580,0.0027907867915928364,0.6919687390327454,0.018380720168352127,0.27105340361595154,1.0
1350,0.0255,0.300,0.630,0.005931778345257044,0.5646944046020508,0.02879963256418705,0.2717449367046356,1.0
