episode,epsilon,avg_reward,wr_random,wr_greedy,wr_heuristic,wr_fast_minimax,loss,mean_q,grad_norm,mean_td_error,beta
1,0.9995,-1.000,,0.000,,,,,,,
100,0.9512,-0.670,0.429,0.133,0.116,,0.000916853838134557,-0.06711006164550781,0.030541548505425453,,
200,0.9048,-0.570,0.423,0.158,0.154,,0.0010751651134341955,0.05734841525554657,0.028307290747761726,,
300,0.8607,-0.450,0.522,0.205,0.143,,0.001503610983490944,0.18167118728160858,0.045574430376291275,,
400,0.8187,-0.610,0.534,0.198,0.137,,0.0023344301152974367,0.36430492997169495,0.045860882848501205,,
500,0.7788,-0.290,0.565,0.237,0.152,,0.002569371135905385,0.46031731367111206,0.058675043284893036,,
600,0.7408,-0.520,0.570,0.235,0.158,,0.0028892382979393005,0.4928086996078491,0.07274753600358963,,
700,0.7046,-0.600,0.544,0.227,0.158,,0.0031971021089702845,0.5820239186286926,0.06037726625800133,,
800,0.6703,-0.340,0.557,0.245,0.169,0.159,0.0025202056858688593,0.6539074778556824,0.05931566655635834,,
900,0.6376,-0.490,0.571,0.245,0.173,0.138,0.0042764972895383835,0.5785973072052002,0.06346512585878372,,
1000,0.6065,-0.510,0.566,0.240,0.182,0.136,0.0034141542855650187,0.6284579038619995,0.09699898958206177,,
1100,0.5769,-0.530,0.551,0.245,0.187,0.124,0.0035739948507398367,0.46642008423805237,0.07320466637611389,,
1200,0.5487,-0.380,0.566,0.258,0.182,0.167,0.0022876248694956303,0.5442204475402832,0.051920294761657715,,
1300,0.5220,-0.460,0.565,0.274,0.185,0.146,0.003034872468560934,0.7537070512771606,0.05992070958018303,,
1400,0.4965,-0.400,0.573,0.288,0.190,0.136,0.0031522484496235847,0.7970205545425415,0.06194557622075081,,
1500,0.4723,-0.420,0.567,0.294,0.190,0.155,0.005177503451704979,0.6568511724472046,0.07617277652025223,,
1600,0.4492,-0.450,0.570,0.301,0.190,0.151,0.004387864377349615,0.6709327697753906,0.06524543464183807,,
1700,0.4273,-0.370,0.574,0.306,0.199,0.143,0.00535402400419116,0.579796552658081,0.10045166313648224,,
1800,0.4065,-0.440,0.573,0.311,0.201,0.145,0.006811804138123989,0.5922405123710632,0.07791168242692947,,
1900,0.3866,-0.230,0.592,0.318,0.204,0.151,0.004964326974004507,0.7681410908699036,0.08018217235803604,,
2000,0.3678,-0.500,0.596,0.320,0.205,0.144,0.00551231112331152,0.6743572950363159,0.09426932781934738,,
2100,0.3498,-0.300,0.605,0.329,0.205,0.151,0.004049475770443678,0.7300819158554077,0.06539637595415115,,
2200,0.3328,-0.460,0.609,0.333,0.207,0.144,0.0043920716270804405,0.6680041551589966,0.1004486232995987,,
2300,0.3165,-0.460,0.607,0.332,0.210,0.142,0.005275974981486797,0.48632675409317017,0.07900401949882507,,
2400,0.3011,-0.360,0.616,0.334,0.213,0.139,0.005658324807882309,0.5664296746253967,0.10161862522363663,,
2500,0.2864,-0.460,0.621,0.338,0.214,0.137,0.00820449460297823,0.6479947566986084,0.09946140646934509,,
2600,0.2724,-0.290,0.631,0.346,0.215,0.138,0.009292189963161945,0.5757050514221191,0.10938072204589844,,
2700,0.2592,-0.220,0.634,0.352,0.221,0.143,0.005367122124880552,0.6375657320022583,0.07652353495359421,,
2800,0.2465,-0.490,0.634,0.357,0.219,0.145,0.005284466780722141,0.6821771860122681,0.07967793941497803,,
2900,0.2345,-0.360,0.648,0.363,0.217,0.145,0.0057318974286317825,0.5655276775360107,0.09771908074617386,,
3000,0.2230,-0.350,0.651,0.366,0.221,0.146,0.004856511019170284,0.6420689821243286,0.06770136952400208,,
3100,0.2122,-0.320,0.651,0.371,0.223,0.151,0.005929127801209688,0.7089014053344727,0.07867362350225449,,
3200,0.2018,-0.480,0.654,0.373,0.225,0.149,0.006213697604835033,0.7208672165870667,0.10757184028625488,,
3300,0.1920,-0.440,0.653,0.372,0.229,0.150,0.007806960493326187,0.6784771680831909,0.11184943467378616,,
3400,0.1826,-0.340,0.660,0.378,0.231,0.148,0.007136235013604164,0.7172505855560303,0.08536294847726822,,
3500,0.1737,-0.580,0.663,0.375,0.231,0.143,0.009709149599075317,0.6324383020401001,0.11457084864377975,,
3600,0.1652,-0.420,0.666,0.378,0.231,0.146,0.005896399728953838,0.6737160086631775,0.07871230691671371,,
3700,0.1572,-0.390,0.666,0.382,0.233,0.146,0.009241760708391666,0.6208624839782715,0.09945295751094818,,
3800,0.1495,-0.320,0.664,0.387,0.232,0.149,0.0054435827769339085,0.6859140396118164,0.08735526353120804,,
3900,0.1422,-0.590,0.657,0.388,0.234,0.146,0.010702819563448429,0.747581422328949,0.10558506846427917,,
4000,0.1353,-0.490,0.654,0.388,0.233,0.147,0.00945699866861105,0.5294400453567505,0.10741690546274185,,
4100,0.1287,-0.400,0.654,0.390,0.233,0.151,0.01611419767141342,0.6903478503227234,0.1341181844472885,,
4200,0.1224,-0.430,0.657,0.393,0.233,0.152,0.007717365399003029,0.6084680557250977,0.09376029670238495,,
4300,0.1164,-0.310,0.662,0.396,0.236,0.152,0.006314738653600216,0.5391404032707214,0.07992743700742722,,
4400,0.1107,-0.420,0.664,0.394,0.238,0.151,0.011111844331026077,0.48665618896484375,0.11176091432571411,,
4500,0.1053,-0.430,0.665,0.396,0.238,0.153,0.005623435601592064,0.5544731616973877,0.08280486613512039,,
4600,0.1002,-0.530,0.661,0.396,0.239,0.153,0.00932350754737854,0.8043134808540344,0.10227616876363754,,
4700,0.0953,-0.550,0.666,0.395,0.240,0.150,0.007374531589448452,0.5343695878982544,0.11223897337913513,,
4800,0.0907,-0.510,0.668,0.394,0.240,0.152,0.009009778499603271,0.5387670397758484,0.10937865078449249,,
4900,0.0862,-0.450,0.670,0.396,0.242,0.152,0.007241027429699898,0.6666754484176636,0.10008588433265686,,
5000,0.0820,-0.560,0.671,0.396,0.242,0.153,0.008664974942803383,0.4491536319255829,0.11294807493686676,,
5100,0.0780,-0.360,0.673,0.399,0.244,0.153,0.00931791216135025,0.7168720364570618,0.11745237559080124,,
5200,0.0742,-0.590,0.675,0.396,0.245,0.152,0.011177257634699345,0.5491601228713989,0.12462463974952698,,
5300,0.0706,-0.520,0.678,0.393,0.247,0.151,0.012273816391825676,0.4236201345920563,0.12345805764198303,,
5400,0.0672,-0.330,0.678,0.396,0.247,0.156,0.010328581556677818,0.7224053144454956,0.13129383325576782,,
