episode,epsilon,avg_reward,wr_random,wr_greedy,wr_heuristic,wr_fast_minimax,loss,mean_q,grad_norm,mean_td_error,beta
1,0.9995,-1.000,,0.000,,,,,,,
100,0.9512,-0.410,0.583,0.267,0.250,,0.0013137203641235828,-0.006615959107875824,0.04395819455385208,,
200,0.9048,-0.450,0.667,0.254,0.221,,0.0015639262273907661,0.1671265810728073,0.03595259040594101,,
300,0.8607,-0.480,0.651,0.234,0.203,,0.0020485850982367992,0.3924627900123596,0.0615491084754467,,
400,0.8187,-0.270,0.662,0.259,0.212,,0.001981543842703104,0.49520209431648254,0.04403696209192276,,
500,0.7788,-0.170,0.684,0.297,0.218,,0.0016813838155940175,0.714462161064148,0.047216787934303284,,
600,0.7408,-0.450,0.646,0.311,0.220,,0.002118845237419009,0.9318556785583496,0.04976935312151909,,
700,0.7046,-0.430,0.652,0.305,0.213,,0.003292908426374197,0.6402403116226196,0.0856589525938034,,
800,0.6703,-0.400,0.622,0.301,0.224,0.192,0.0023524067364633083,0.6451615691184998,0.09446360915899277,,
900,0.6376,-0.340,0.627,0.309,0.236,0.095,0.0028616543859243393,0.9473954439163208,0.06664672493934631,,
1000,0.6065,-0.360,0.628,0.321,0.249,0.071,0.007393446750938892,0.7289550304412842,0.10728242993354797,,
1100,0.5769,-0.320,0.647,0.333,0.250,0.074,0.0021887673065066338,0.8527843356132507,0.059510719031095505,,
1200,0.5487,-0.290,0.656,0.341,0.253,0.101,0.0038213671650737524,0.818803608417511,0.07366480678319931,,
1300,0.5220,-0.260,0.669,0.350,0.258,0.108,0.0036276152823120356,0.9357964992523193,0.0748712494969368,,
1400,0.4965,-0.270,0.673,0.356,0.260,0.130,0.007919998839497566,0.8307641744613647,0.10889028012752533,,
1500,0.4723,-0.140,0.674,0.377,0.266,0.135,0.003307865234091878,0.7255569696426392,0.08051963895559311,,
1600,0.4492,-0.270,0.686,0.378,0.268,0.141,0.0043127769604325294,0.7671350240707397,0.06911344081163406,,
1700,0.4273,-0.150,0.698,0.387,0.273,0.143,0.004426849540323019,0.9580137133598328,0.07555612176656723,,
1800,0.4065,-0.240,0.698,0.396,0.278,0.144,0.002744829747825861,0.6196832060813904,0.05369037762284279,,
1900,0.3866,-0.270,0.703,0.397,0.286,0.141,0.004641871899366379,0.9863561391830444,0.08969172090291977,,
2000,0.3678,-0.260,0.705,0.400,0.291,0.141,0.00340946763753891,0.817385196685791,0.08748704195022583,,
2100,0.3498,-0.040,0.717,0.408,0.298,0.149,0.003826830070465803,0.9266390800476074,0.0716463103890419,,
2200,0.3328,-0.190,0.720,0.415,0.301,0.153,0.006877540145069361,0.8102400302886963,0.092581607401371,,
2300,0.3165,0.000,0.726,0.423,0.310,0.158,0.0032812694553285837,0.8795872926712036,0.06378092616796494,,
2400,0.3011,-0.130,0.730,0.422,0.318,0.160,0.00511274766176939,0.8855440020561218,0.07356753200292587,,
2500,0.2864,-0.170,0.735,0.423,0.323,0.161,0.0033966589253395796,1.0382766723632812,0.07378826290369034,,
2600,0.2724,-0.220,0.736,0.431,0.323,0.155,0.005564897321164608,0.8915855884552002,0.1007557138800621,,
2700,0.2592,-0.280,0.736,0.435,0.327,0.155,0.007792583201080561,0.874767541885376,0.09473612159490585,,
2800,0.2465,-0.290,0.738,0.439,0.326,0.162,0.005137092433869839,0.7566579580307007,0.07655452191829681,,
2900,0.2345,-0.190,0.743,0.446,0.323,0.171,0.0062010278925299644,0.9266515374183655,0.09785906970500946,,
3000,0.2230,-0.170,0.747,0.449,0.324,0.180,0.005226221401244402,0.9270163774490356,0.07672382146120071,,
3100,0.2122,-0.190,0.751,0.451,0.326,0.187,0.005170377902686596,0.8083744049072266,0.07940810918807983,,
3200,0.2018,0.000,0.748,0.456,0.332,0.193,0.007608210667967796,1.0663901567459106,0.10522348433732986,,
3300,0.1920,-0.030,0.748,0.464,0.337,0.197,0.0056563010439276695,0.8506507873535156,0.09395638108253479,,
3400,0.1826,-0.030,0.754,0.471,0.341,0.197,0.006466005928814411,0.974427342414856,0.09306374937295914,,
3500,0.1737,-0.070,0.754,0.476,0.345,0.201,0.005832497961819172,1.09050452709198,0.1072336956858635,,
3600,0.1652,-0.110,0.756,0.479,0.347,0.209,0.006346034351736307,1.0748472213745117,0.10006266832351685,,
3700,0.1572,-0.240,0.761,0.479,0.349,0.208,0.010165462270379066,0.8639224171638489,0.13501152396202087,,
3800,0.1495,-0.160,0.763,0.481,0.353,0.207,0.007399966940283775,0.8422073125839233,0.10394233465194702,,
3900,0.1422,-0.140,0.765,0.486,0.356,0.208,0.011168909259140491,0.9073787331581116,0.11359386146068573,,
4000,0.1353,-0.010,0.766,0.489,0.362,0.211,0.004627518821507692,0.8493417501449585,0.07407107949256897,,
4100,0.1287,-0.010,0.766,0.492,0.368,0.212,0.006878890097141266,0.8622151613235474,0.08391983807086945,,
4200,0.1224,-0.160,0.769,0.495,0.371,0.211,0.006056794431060553,0.8924570083618164,0.08904153853654861,,
4300,0.1164,0.030,0.769,0.497,0.377,0.217,0.006531810387969017,0.9115110039710999,0.09127088636159897,,
4400,0.1107,-0.020,0.772,0.501,0.384,0.218,0.004673315212130547,1.0457313060760498,0.08115242421627045,,
4500,0.1053,-0.290,0.772,0.501,0.385,0.217,0.006149792578071356,1.0391101837158203,0.08586321771144867,,
4600,0.1002,-0.350,0.775,0.500,0.386,0.217,0.004982338286936283,0.9368549585342407,0.08085150271654129,,
4700,0.0953,-0.310,0.776,0.504,0.388,0.215,0.0075437575578689575,1.0802178382873535,0.10113891959190369,,
4800,0.0907,-0.240,0.774,0.505,0.389,0.218,0.0037858732976019382,0.9038102626800537,0.06755254417657852,,
4900,0.0862,-0.210,0.773,0.508,0.391,0.220,0.008027453906834126,0.807887852191925,0.0997295156121254,,
5000,0.0820,-0.220,0.771,0.510,0.393,0.222,0.0059512401930987835,0.7736685276031494,0.08348352462053299,,
5100,0.0780,-0.180,0.772,0.511,0.396,0.225,0.009255114942789078,0.7266864776611328,0.10525758564472198,,
5200,0.0742,-0.280,0.773,0.512,0.396,0.227,0.006291133351624012,0.9950131177902222,0.08463004976511002,,
5300,0.0706,-0.330,0.773,0.513,0.396,0.227,0.004943173378705978,1.0530996322631836,0.09412498027086258,,
5400,0.0672,-0.250,0.774,0.514,0.397,0.228,0.008791002444922924,0.9313735961914062,0.11240861564874649,,
5500,0.0639,-0.340,0.771,0.516,0.398,0.228,0.009408204816281796,0.9216899871826172,0.11416081339120865,,
5600,0.0608,-0.370,0.772,0.514,0.399,0.228,0.017222287133336067,1.0434855222702026,0.13602757453918457,,
5700,0.0578,-0.280,0.772,0.515,0.400,0.229,0.010108480229973793,0.9157758951187134,0.12251708656549454,,
5800,0.0550,-0.020,0.773,0.517,0.403,0.232,0.005995878018438816,0.8673593401908875,0.09275194257497787,,
5900,0.0523,-0.250,0.773,0.520,0.405,0.232,0.0067232344299554825,0.9040171504020691,0.09446248412132263,,
6000,0.0500,-0.330,0.775,0.520,0.406,0.231,0.007027023937553167,0.7421668171882629,0.10316063463687897,,
6100,0.0500,-0.260,0.773,0.523,0.406,0.232,0.008230728097259998,0.7981371879577637,0.12196209281682968,,
6200,0.0500,-0.220,0.775,0.524,0.407,0.233,0.008000824600458145,0.9903498888015747,0.11195186525583267,,
6300,0.0500,-0.230,0.774,0.526,0.408,0.233,0.011156090535223484,0.9485055208206177,0.12066518515348434,,
6400,0.0500,-0.220,0.776,0.528,0.407,0.235,0.007374581880867481,0.843167781829834,0.11084829270839691,,
6500,0.0500,-0.120,0.779,0.530,0.408,0.236,0.00926318857818842,0.8758893013000488,0.11743345856666565,,
6600,0.0500,-0.110,0.781,0.532,0.410,0.236,0.007783288136124611,0.9035117626190186,0.10171493887901306,,
6700,0.0500,-0.210,0.782,0.534,0.412,0.237,0.006744263228029013,0.7651716470718384,0.09444008767604828,,
6800,0.0500,-0.050,0.783,0.538,0.414,0.238,0.006775867193937302,0.8640981316566467,0.10346545279026031,,
6900,0.0500,-0.250,0.785,0.541,0.413,0.238,0.012524320743978024,0.8816523551940918,0.14037546515464783,,
7000,0.0500,-0.240,0.784,0.542,0.413,0.240,0.006487747188657522,0.8788118958473206,0.1167571023106575,,
7100,0.0500,-0.290,0.786,0.542,0.415,0.240,0.006377076730132103,0.8757250905036926,0.10711123049259186,,
7200,0.0500,-0.270,0.787,0.546,0.415,0.239,0.008035819977521896,0.6974697709083557,0.10473784059286118,,
7300,0.0500,-0.300,0.786,0.546,0.415,0.239,0.010801433585584164,0.6997367143630981,0.12784357368946075,,
7400,0.0500,-0.280,0.789,0.546,0.414,0.240,0.010571056976914406,0.9909659624099731,0.11399272084236145,,
7500,0.0500,-0.150,0.788,0.547,0.415,0.241,0.00963707733899355,0.9363222718238831,0.11364180594682693,,
7600,0.0500,-0.300,0.790,0.546,0.417,0.241,0.009147930890321732,0.9050898551940918,0.11399929970502853,,
7700,0.0500,-0.110,0.791,0.547,0.419,0.241,0.00594485504552722,0.9368079304695129,0.11010782420635223,,
